@relation 'wdbc-weka.filters.unsupervised.attribute.Remove-R1,4,6-13,15,17-19,21-27,29-32-weka.filters.supervised.attribute.Discretize-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,1'

@attribute 'radius mean' {0,1,2,3}
@attribute 'perimeter mean' {0,1,2,3}
@attribute 'texture se' {0}
@attribute 'area se' {0,1,2,3}
@attribute 'concave points se' {0,1,2}
@attribute 'compactness max' {0,1,2,3}
@attribute class {M,B}

@data
3,3,0,3,2,3,M
3,3,0,3,2,1,M
3,3,0,3,2,3,M
0,0,0,1,2,3,M
3,3,0,3,2,1,M
0,0,0,1,1,3,M
3,3,0,3,1,1,M
1,1,0,2,2,3,M
0,1,0,1,2,3,M
0,0,0,1,2,3,M
2,2,0,2,0,0,M
2,2,0,3,2,3,M
3,3,0,3,2,3,M
2,2,0,2,2,1,M
1,1,0,1,2,3,M
1,1,0,2,1,3,M
1,1,0,2,1,1,M
2,2,0,3,2,3,M
3,3,0,3,2,2,M
2,2,0,2,2,3,M
3,3,0,3,1,1,M
2,2,0,3,1,2,M
2,3,0,3,2,3,M
1,1,0,1,2,3,M
3,3,0,3,2,1,M
2,2,0,2,1,3,M
2,3,0,3,2,2,M
3,3,0,3,1,3,M
0,0,0,2,1,3,M
2,2,0,3,1,2,M
3,3,0,3,1,3,M
2,2,0,2,0,3,M
2,2,0,2,1,3,M
1,1,0,1,1,3,M
1,1,0,3,2,0,M
1,1,0,1,2,3,M
1,1,0,1,0,1,M
0,0,0,0,1,1,M
3,3,0,3,2,3,M
1,1,0,2,1,3,M
1,1,0,0,0,3,M
3,3,0,3,2,3,M
1,1,0,1,2,3,M
3,3,0,3,1,1,M
2,1,0,1,1,1,M
3,3,0,3,2,2,M
1,1,0,2,2,3,M
1,1,0,3,2,3,M
0,0,0,2,2,3,M
1,1,0,2,1,2,M
3,3,0,3,2,1,M
2,2,0,3,1,3,M
1,1,0,1,1,2,M
2,2,0,3,2,1,M
3,3,0,3,2,3,M
3,3,0,3,2,3,M
3,3,0,3,2,3,M
3,3,0,3,2,2,M
3,3,0,3,2,1,M
1,1,0,2,2,1,M
3,3,0,3,2,2,M
2,2,0,1,2,1,M
2,2,0,2,2,3,M
3,3,0,3,2,2,M
1,1,0,1,2,2,M
1,1,0,2,1,1,M
1,1,0,2,2,3,M
3,3,0,3,2,3,M
1,1,0,2,2,3,M
2,2,0,3,2,3,M
3,2,0,3,1,0,M
3,3,0,3,2,1,M
3,3,0,3,2,3,M
1,1,0,1,0,2,M
3,3,0,3,2,1,M
3,3,0,3,1,3,M
2,2,0,2,1,1,M
2,2,0,2,1,2,M
3,3,0,3,0,1,M
0,0,0,1,0,0,M
1,1,0,3,2,1,M
2,2,0,3,1,1,M
0,0,0,1,2,3,M
2,3,0,3,2,2,M
3,3,0,3,2,1,M
3,3,0,3,2,3,M
3,3,0,3,2,2,M
2,2,0,3,2,1,M
2,3,0,3,2,3,M
1,1,0,2,1,0,M
2,2,0,2,2,2,M
2,2,0,2,2,3,M
3,3,0,3,2,3,M
3,3,0,3,2,3,M
2,2,0,2,1,2,M
2,2,0,1,0,2,M
3,3,0,1,0,1,M
1,1,0,2,2,3,M
0,0,0,2,2,3,M
1,2,0,1,2,3,M
1,1,0,2,2,2,M
3,3,0,3,2,1,M
3,3,0,3,2,3,M
1,1,0,1,0,3,M
2,3,0,2,2,2,M
3,3,0,3,2,3,M
1,1,0,2,2,3,M
2,2,0,1,0,2,M
2,2,0,3,1,0,M
3,3,0,3,2,2,M
3,3,0,3,2,0,M
2,2,0,3,2,1,M
1,1,0,1,2,3,M
1,1,0,1,2,3,M
3,3,0,3,2,2,M
3,3,0,3,1,3,M
2,2,0,2,0,3,M
0,1,0,1,2,3,M
2,2,0,2,2,3,M
3,3,0,3,1,1,M
3,3,0,3,2,3,M
3,3,0,3,2,1,M
2,2,0,2,2,3,M
3,3,0,3,2,2,M
3,3,0,3,2,2,M
3,3,0,3,2,3,M
2,2,0,2,2,1,M
3,3,0,3,2,2,M
1,1,0,2,2,2,M
3,3,0,3,2,3,M
2,2,0,3,2,3,M
2,2,0,3,2,3,M
2,2,0,1,1,3,M
3,3,0,2,0,2,M
2,2,0,2,0,0,M
2,2,0,3,2,2,M
2,2,0,1,0,1,M
2,2,0,2,1,1,M
3,3,0,3,1,1,M
3,3,0,3,2,3,M
3,3,0,2,0,1,M
3,3,0,2,2,0,M
3,3,0,3,2,3,M
3,3,0,2,2,3,M
2,2,0,1,2,3,M
0,0,0,2,2,0,M
3,3,0,3,2,3,M
3,3,0,3,2,2,M
3,3,0,2,1,1,M
3,3,0,3,2,0,M
3,3,0,3,2,3,M
2,2,0,2,2,2,M
2,2,0,3,1,1,M
2,2,0,2,2,3,M
2,2,0,3,2,1,M
3,3,0,3,2,3,M
3,3,0,3,2,1,M
3,3,0,3,2,2,M
2,2,0,2,2,3,M
3,3,0,3,2,3,M
2,1,0,3,2,1,M
3,3,0,3,2,1,M
3,3,0,3,2,2,M
3,3,0,3,2,0,M
3,3,0,3,2,3,M
2,2,0,2,2,3,M
3,3,0,2,2,2,M
3,3,0,3,2,2,M
0,0,0,0,2,3,M
1,1,0,2,2,0,M
3,3,0,3,2,1,M
2,2,0,3,2,3,M
3,3,0,3,2,3,M
3,3,0,2,1,3,M
3,3,0,2,2,3,M
2,1,0,2,0,0,M
2,2,0,3,2,3,M
1,2,0,1,2,3,M
3,3,0,2,2,2,M
3,3,0,3,2,2,M
1,1,0,1,1,2,M
2,2,0,3,2,3,M
3,3,0,2,1,1,M
2,3,0,2,1,3,M
3,3,0,3,2,2,M
3,3,0,3,2,1,M
2,2,0,3,2,1,M
3,3,0,3,2,3,M
2,3,0,3,2,3,M
2,2,0,2,2,3,M
3,3,0,3,1,3,M
2,2,0,1,0,2,M
3,3,0,3,2,1,M
3,3,0,3,2,2,M
3,3,0,3,2,2,M
1,1,0,2,2,3,M
3,3,0,3,2,2,M
2,2,0,2,2,3,M
1,1,0,2,2,3,M
2,1,0,2,1,1,M
3,3,0,3,1,1,M
3,3,0,3,1,2,M
3,3,0,3,2,3,M
3,3,0,3,2,1,M
3,3,0,3,2,2,M
1,1,0,1,2,1,M
2,2,0,1,2,3,M
3,3,0,3,2,3,M
3,3,0,3,2,1,M
3,3,0,3,2,1,M
2,2,0,2,2,2,M
3,3,0,3,2,3,M
1,1,0,1,2,0,B
0,1,0,0,0,1,B
0,0,0,0,2,0,B
0,0,0,0,1,0,B
0,0,0,0,0,0,B
0,0,0,1,0,1,B
1,1,0,1,1,0,B
0,0,0,1,0,0,B
1,1,0,0,0,0,B
0,0,0,0,0,0,B
0,0,0,1,0,0,B
0,0,0,2,0,0,B
0,0,0,0,0,0,B
0,0,0,2,0,0,B
0,0,0,0,1,0,B
0,0,0,1,2,0,B
0,0,0,0,1,0,B
0,0,0,0,0,0,B
0,0,0,0,2,3,B
0,0,0,0,0,0,B
0,0,0,1,2,1,B
0,0,0,1,0,1,B
1,1,0,2,0,0,B
0,0,0,1,0,1,B
0,0,0,1,0,0,B
1,1,0,0,2,3,B
0,0,0,0,0,1,B
0,0,0,1,2,1,B
1,1,0,2,2,2,B
1,1,0,2,0,0,B
1,0,0,2,1,0,B
1,1,0,1,1,0,B
0,0,0,1,2,0,B
0,0,0,1,0,0,B
0,0,0,0,0,1,B
0,0,0,0,0,0,B
0,0,0,0,0,0,B
0,0,0,0,1,1,B
0,0,0,1,0,0,B
0,0,0,1,2,1,B
0,0,0,0,0,1,B
0,0,0,0,0,1,B
0,0,0,1,1,0,B
0,0,0,1,2,1,B
1,1,0,1,2,3,B
0,0,0,1,2,1,B
0,0,0,0,1,1,B
0,0,0,1,0,1,B
0,0,0,0,2,1,B
0,0,0,0,0,1,B
1,1,0,1,2,0,B
1,1,0,0,1,1,B
1,1,0,0,0,0,B
2,2,0,2,2,2,B
0,0,0,0,0,1,B
2,2,0,1,2,1,B
0,0,0,2,2,0,B
0,0,0,0,0,0,B
0,0,0,1,2,1,B
0,0,0,0,0,0,B
0,0,0,1,1,0,B
0,0,0,0,0,1,B
0,0,0,0,0,0,B
0,0,0,1,1,1,B
1,1,0,2,2,1,B
1,1,0,1,2,1,B
1,1,0,1,0,1,B
0,0,0,2,1,0,B
0,0,0,0,1,3,B
0,0,0,2,2,1,B
0,0,0,0,0,0,B
1,1,0,1,1,1,B
0,0,0,0,0,0,B
2,2,0,2,1,0,B
0,0,0,0,0,0,B
0,0,0,1,0,0,B
0,0,0,2,1,1,B
0,0,0,1,1,1,B
1,1,0,0,0,0,B
0,0,0,0,0,0,B
1,1,0,1,0,0,B
0,0,0,0,2,0,B
0,0,0,1,2,0,B
0,0,0,1,0,0,B
0,0,0,0,0,0,B
0,0,0,1,2,2,B
0,0,0,0,0,0,B
0,0,0,1,0,0,B
0,0,0,1,2,0,B
0,0,0,1,0,0,B
0,0,0,0,1,0,B
0,0,0,0,0,0,B
0,0,0,0,0,0,B
0,0,0,2,2,0,B
0,0,0,1,0,0,B
0,0,0,0,0,0,B
0,0,0,1,1,1,B
0,0,0,1,1,1,B
0,0,0,0,0,0,B
1,1,0,0,0,3,B
2,1,0,1,0,1,B
0,0,0,0,0,1,B
0,0,0,1,2,2,B
0,0,0,1,1,0,B
1,1,0,0,0,1,B
1,1,0,1,0,1,B
0,0,0,0,0,0,B
1,0,0,1,0,0,B
1,1,0,2,2,0,B
0,0,0,0,0,0,B
1,1,0,1,1,2,B
0,0,0,0,0,2,B
0,0,0,0,0,0,B
0,0,0,0,0,0,B
0,0,0,0,1,0,B
1,1,0,1,1,0,B
1,1,0,1,1,1,B
1,1,0,1,1,0,B
0,0,0,0,0,0,B
0,0,0,0,2,3,B
1,1,0,2,1,0,B
0,0,0,1,1,0,B
1,0,0,0,0,0,B
0,0,0,0,2,3,B
0,0,0,0,0,0,B
0,0,0,1,1,0,B
0,0,0,1,0,0,B
0,0,0,1,2,1,B
1,1,0,1,1,0,B
0,0,0,0,0,1,B
0,0,0,1,2,1,B
1,1,0,0,0,0,B
0,0,0,0,0,0,B
0,0,0,0,1,0,B
0,0,0,2,2,0,B
0,0,0,0,0,0,B
1,1,0,1,0,0,B
1,1,0,1,1,0,B
0,0,0,2,2,0,B
0,0,0,1,2,1,B
0,0,0,1,0,0,B
0,0,0,1,2,2,B
0,0,0,0,0,0,B
0,0,0,2,2,1,B
0,0,0,0,1,0,B
1,1,0,3,2,1,B
1,1,0,1,1,2,B
0,0,0,0,1,1,B
0,0,0,0,0,0,B
0,0,0,0,0,0,B
1,1,0,0,0,0,B
0,0,0,0,1,0,B
1,1,0,1,0,1,B
0,0,0,1,2,0,B
0,0,0,1,2,1,B
0,0,0,0,0,0,B
0,0,0,1,0,0,B
0,0,0,0,0,0,B
1,0,0,0,0,0,B
0,0,0,0,0,0,B
1,1,0,1,0,0,B
0,0,0,2,0,0,B
0,0,0,0,0,0,B
1,1,0,1,0,0,B
0,0,0,1,1,1,B
0,0,0,0,0,0,B
0,0,0,0,0,0,B
0,0,0,0,0,0,B
0,0,0,0,0,0,B
0,0,0,1,2,3,B
0,0,0,1,1,0,B
0,0,0,1,2,1,B
0,0,0,0,1,1,B
0,0,0,1,0,1,B
0,0,0,0,0,0,B
1,1,0,1,0,0,B
0,0,0,0,0,0,B
0,0,0,1,1,2,B
0,0,0,1,0,0,B
0,0,0,0,0,0,B
0,0,0,0,0,0,B
0,0,0,0,0,1,B
0,0,0,0,0,0,B
1,1,0,2,2,2,B
0,0,0,0,0,2,B
0,0,0,0,1,1,B
0,0,0,1,1,0,B
0,0,0,1,2,0,B
0,0,0,0,0,0,B
1,1,0,1,1,1,B
0,0,0,0,0,0,B
0,0,0,1,1,1,B
0,0,0,1,0,0,B
0,0,0,1,2,0,B
0,0,0,1,2,1,B
0,0,0,1,2,1,B
1,1,0,1,0,0,B
0,0,0,1,2,0,B
0,0,0,1,0,0,B
0,0,0,1,0,0,B
1,0,0,1,0,0,B
0,0,0,0,1,1,B
2,2,0,2,1,0,B
1,1,0,0,0,0,B
0,0,0,1,0,1,B
2,1,0,0,0,0,B
1,1,0,0,0,1,B
2,2,0,0,1,1,B
0,0,0,0,2,2,B
1,1,0,0,0,0,B
1,1,0,0,0,2,B
0,0,0,0,1,1,B
0,0,0,0,0,1,B
0,0,0,0,2,2,B
0,0,0,1,1,2,B
1,1,0,0,0,1,B
0,0,0,1,1,1,B
1,1,0,1,0,0,B
0,0,0,1,2,1,B
0,0,0,0,0,0,B
0,0,0,1,0,0,B
0,0,0,1,0,0,B
1,1,0,0,0,0,B
1,1,0,1,2,1,B
0,0,0,1,2,1,B
0,0,0,0,0,1,B
0,0,0,1,0,0,B
0,0,0,1,0,0,B
0,0,0,1,1,1,B
0,0,0,0,0,1,B
0,0,0,1,1,0,B
0,0,0,1,1,0,B
2,2,0,1,0,0,B
0,0,0,2,2,1,B
0,0,0,1,1,1,B
0,0,0,0,0,0,B
0,0,0,0,0,0,B
0,0,0,0,0,1,B
1,1,0,1,1,2,B
0,0,0,1,1,1,B
0,0,0,1,0,0,B
0,0,0,0,0,0,B
0,0,0,1,0,0,B
0,0,0,1,0,1,B
1,1,0,2,2,2,B
0,0,0,0,2,1,B
1,1,0,1,2,2,B
0,0,0,2,1,0,B
0,0,0,0,0,0,B
0,0,0,1,2,2,B
0,0,0,1,1,0,B
0,0,0,0,0,0,B
0,0,0,1,0,0,B
0,0,0,0,1,1,B
1,1,0,1,0,0,B
0,0,0,1,0,0,B
1,1,0,2,0,0,B
1,1,0,1,0,0,B
1,1,0,1,1,0,B
0,0,0,0,2,3,B
1,1,0,1,0,0,B
0,0,0,0,1,0,B
0,0,0,1,2,1,B
1,1,0,1,0,1,B
1,1,0,1,0,1,B
0,0,0,1,2,2,B
0,0,0,0,0,1,B
1,1,0,1,1,0,B
0,0,0,0,0,0,B
1,1,0,1,0,0,B
0,0,0,1,1,1,B
1,0,0,0,0,0,B
0,0,0,1,0,0,B
0,0,0,0,0,0,B
1,1,0,1,0,0,B
0,0,0,0,0,1,B
1,0,0,0,0,1,B
1,1,0,1,2,3,B
1,1,0,1,2,2,B
0,0,0,1,0,0,B
0,0,0,1,2,2,B
0,0,0,1,1,0,B
0,0,0,2,1,0,B
1,1,0,1,0,1,B
0,0,0,2,0,0,B
0,0,0,0,0,3,B
0,0,0,0,0,1,B
1,1,0,1,2,2,B
1,1,0,0,0,1,B
0,0,0,0,0,1,B
0,0,0,0,0,1,B
1,1,0,1,0,0,B
1,1,0,0,0,1,B
1,1,0,1,1,0,B
2,2,0,0,1,2,B
0,0,0,1,2,3,B
1,1,0,1,0,1,B
0,0,0,1,1,0,B
0,0,0,0,0,1,B
2,2,0,2,0,0,B
0,0,0,1,0,0,B
1,0,0,1,0,0,B
1,1,0,1,1,0,B
0,0,0,0,1,3,B
0,0,0,0,0,1,B
1,1,0,2,1,1,B
0,0,0,0,1,0,B
0,0,0,1,2,2,B
0,0,0,0,2,2,B
0,0,0,0,1,1,B
0,0,0,0,2,1,B
2,2,0,1,2,0,B
0,0,0,0,2,1,B
1,1,0,1,1,0,B
1,1,0,2,0,1,B
0,0,0,0,1,0,B
0,0,0,2,2,2,B
0,0,0,1,0,1,B
0,0,0,1,2,1,B
0,0,0,0,0,0,B
1,1,0,1,2,1,B
0,0,0,0,0,1,B
0,0,0,0,0,1,B
1,1,0,0,0,2,B
0,0,0,0,0,1,B
1,1,0,2,2,0,B
0,0,0,1,0,0,B
0,0,0,1,2,1,B
0,0,0,0,0,2,B
1,1,0,0,0,0,B
0,0,0,0,2,1,B
0,0,0,1,2,2,B
0,0,0,1,0,0,B
0,0,0,0,2,2,B
0,0,0,1,2,1,B
1,1,0,1,1,3,B
1,1,0,1,2,0,B
1,0,0,0,0,0,B
1,1,0,1,0,1,B
1,1,0,1,0,0,B
0,0,0,0,0,0,B
0,0,0,0,1,1,B
0,0,0,0,1,0,B
0,0,0,2,0,0,B
0,0,0,1,0,0,B
0,0,0,0,1,0,B
0,0,0,1,1,0,B
0,0,0,0,2,0,B
0,0,0,0,0,0,B
0,0,0,0,2,0,B
0,0,0,0,0,0,B
0,0,0,1,0,0,B
1,1,0,1,2,2,B
0,0,0,0,2,1,B
1,1,0,1,2,1,B
0,0,0,1,0,0,B
0,0,0,1,0,0,B
